image_path,image_prompt,location,coordinates,weather_conditions,collection_date,type_of_driftwood,size,color,texture,environment_type,image_quality,camera_type,additional_notes,augmented,original_image_id,category_label,dominant_species,distance_to_water,time_of_day,temperature,humidity
generated_images/6980f1a6-9ab2-4918-9350-49a922461046.jpg,"A high-quality image of driftwood on a riverbank, surrounded by natural elements, under sunny weather conditions. The driftwood is a 0.86 meter log, dark brown in color, and has a rough texture. Captured during night with realistic details.",riverbank,"-46.6536315, -176.278509",sunny,2023-02-11,log,0.86,dark brown,rough,riverbank,high,DSLR,Particularly detail camera commercial cell when.,True,b3b127fb-1eb1-4305-8cd5-055a136a3287,2,crabs,5.04,night,17.8,97.1
generated_images/352952d5-6318-420a-9e34-645815495d3c.jpg,"A high-quality image of driftwood on a riverbank, surrounded by natural elements, under windy weather conditions. The driftwood is a 0.91 meter log, brown in color, and has a mossy texture. Captured during morning with realistic details.",riverbank,"86.574965, 145.580725",windy,2023-05-02,log,0.91,brown,mossy,beach,high,DSLR,Class work happen girl somebody. Investment reality she ask thing.,True,49d30626-43c2-4b3a-8d8f-c913269397ea,0,algae,21.31,morning,11.6,48.5
generated_images/06b21e24-12f6-4cd8-9a10-13d38465a04f.jpg,"A high-quality image of driftwood on a riverbank, surrounded by natural elements, under cloudy weather conditions. The driftwood is a 2.17 meter root, brown in color, and has a smooth texture. Captured during night with realistic details.",riverbank,"39.828379, 128.642107",cloudy,2023-03-10,root,2.17,brown,smooth,riverbank,high,action camera,Follow school production represent study next evening. Money decade can watch should such full.,False,3ccae89d-dcaf-4ce2-a1d9-8404556a774f,2,crabs,34.51,night,26.5,54.3
generated_images/a178c215-5652-4437-8ba5-123171dcee4f.jpg,"A high-quality image of driftwood on a sandy beach, surrounded by natural elements, under cloudy weather conditions. The driftwood is a 1.66 meter root, brown in color, and has a mossy texture. Captured during evening with realistic details.",sandy beach,"-0.046070, 135.794682",cloudy,2024-07-08,root,1.66,brown,mossy,riverbank,high,DSLR,Claim conference low own try specific recently cut. Back campaign line kind.,True,,2,algae,20.9,evening,20.1,69.8
generated_images/11d99341-19d0-4dc2-8eb0-9e50e6a7c7d5.jpg,"A high-quality image of driftwood on a sandy beach, surrounded by natural elements, under cloudy weather conditions. The driftwood is a 2.56 meter log, dark brown in color, and has a mossy texture. Captured during afternoon with realistic details.",sandy beach,"-11.2846175, 3.645125",cloudy,2023-03-30,log,2.56,dark brown,mossy,beach,high,smartphone,Room people debate cup. Friend computer customer chair role reality management.,True,492ce760-a954-42c0-b295-55c596ab5102,0,seagulls,43.57,afternoon,11.4,80.7
generated_images/9c214d2d-5f3e-4e16-8e59-dd76f8388319.jpg,"A high-quality image of driftwood on a forest with moss, surrounded by natural elements, under sunny weather conditions. The driftwood is a 1.05 meter log, gray in color, and has a smooth texture. Captured during night with realistic details.",forest with moss,"-66.577026, 171.858233",sunny,2023-06-19,log,1.05,gray,smooth,beach,high,action camera,True low security order everything. Need measure then central degree.,True,,0,crabs,42.04,night,22.0,74.8
generated_images/a48d59b8-dde6-4ae0-bf24-852836ee1bd1.jpg,"A high-quality image of driftwood on a rocky ocean, surrounded by natural elements, under windy weather conditions. The driftwood is a 3.0 meter branch, brown in color, and has a rough texture. Captured during morning with realistic details.",rocky ocean,"-38.388372, 102.943099",windy,2023-09-29,branch,3.0,brown,rough,riverbank,high,smartphone,Write program western range herself. Pm debate be leader add week six.,True,8c1706cc-7c43-4552-a808-85ff975c997c,1,algae,44.93,morning,31.0,36.9
generated_images/b2d82df7-a3d9-4863-a7a4-222a01fa521d.jpg,"A high-quality image of driftwood on a rocky ocean, surrounded by natural elements, under cloudy weather conditions. The driftwood is a 0.61 meter log, gray in color, and has a rough texture. Captured during afternoon with realistic details.",rocky ocean,"48.7087705, 54.193867",cloudy,2024-03-31,log,0.61,gray,rough,riverbank,high,action camera,Week city add manager behind base. Happy far figure grow.,True,,0,seagulls,8.6,afternoon,10.7,80.4
generated_images/aaa706a9-5a6e-4deb-8643-9375e3a7b89d.jpg,"A high-quality image of driftwood on a forest with moss, surrounded by natural elements, under cloudy weather conditions. The driftwood is a 0.95 meter branch, gray in color, and has a mossy texture. Captured during afternoon with realistic details.",forest with moss,"-33.4319575, -21.650175",cloudy,2023-12-01,branch,0.95,gray,mossy,forest,high,DSLR,Consider indeed few. Room most leg. Become senior wide high why.,True,b630f179-9fa9-48c6-b1da-e7e3316a092a,2,seagulls,13.24,afternoon,23.9,38.4
generated_images/417e677f-7b8a-48c8-aa91-daef752dd52c.jpg,"A high-quality image of driftwood on a riverbank, surrounded by natural elements, under windy weather conditions. The driftwood is a 2.66 meter root, brown in color, and has a smooth texture. Captured during morning with realistic details.",riverbank,"-85.7133395, -83.692719",windy,2024-10-31,root,2.66,brown,smooth,beach,high,smartphone,Race old term bring clearly. Local popular enjoy third. Woman dream tough available provide.,False,,0,algae,37.68,morning,31.9,51.3
